data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
2020-02-25,0,0,0,0,,,,0.0
2020-02-26,1,1,0,0,,,,0.0
2020-02-27,1,0,0,0,,,,0.0
2020-02-28,1,0,0,0,,,,0.0
2020-02-29,2,1,0,0,,,,0.3010299956639812
2020-03-01,2,0,0,0,,,,0.3010299956639812
2020-03-02,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
2020-03-03,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
2020-03-04,3,1,0,0,0.2857142857142857,0.0,,0.47712125471966244
2020-03-05,7,4,0,0,0.8571428571428571,0.0,,0.8450980400142568
2020-03-06,13,6,0,0,1.7142857142857142,0.0,,1.1139433523068367
2020-03-07,19,6,0,0,2.4285714285714284,0.0,,1.2787536009528289
2020-03-08,25,6,0,0,3.2857142857142856,0.0,,1.3979400086720377
2020-03-09,25,0,0,0,3.2857142857142856,0.0,,1.3979400086720377
2020-03-10,34,9,0,0,4.571428571428571,0.0,,1.5314789170422551
2020-03-11,52,18,0,0,7.0,0.0,,1.7160033436347992
2020-03-12,77,25,0,0,10.0,0.0,,1.8864907251724818
2020-03-13,98,21,0,0,12.142857142857142,0.0,,1.9912260756924949
2020-03-14,121,23,0,0,14.571428571428571,0.0,,2.08278537031645
2020-03-15,200,79,0,0,25.0,0.0,,2.3010299956639813
2020-03-16,234,34,0,0,29.857142857142858,0.0,,2.369215857410143
2020-03-17,291,57,1,1,36.714285714285715,0.14285714285714285,inf,2.4638929889859074
2020-03-18,428,137,4,3,53.714285714285715,0.5714285714285714,inf,2.6314437690131722
2020-03-19,621,193,6,2,77.71428571428571,0.8571428571428571,inf,2.79309160017658
2020-03-20,904,283,11,5,115.14285714285714,1.5714285714285714,inf,2.9561684304753633
2020-03-21,1128,224,18,7,143.85714285714286,2.5714285714285716,inf,3.0523090996473234
2020-03-22,1546,418,25,7,192.28571428571428,3.5714285714285716,inf,3.189209489582306
2020-03-23,1891,345,34,9,236.71428571428572,4.857142857142857,inf,3.27669152884504
2020-03-24,2201,310,46,12,272.85714285714283,6.428571428571429,inf,3.342620042553348
2020-03-25,2433,232,57,11,286.42857142857144,7.571428571428571,inf,3.3861421089308186
2020-03-26,2915,482,77,20,327.7142857142857,10.142857142857142,inf,3.464638559095033
2020-03-27,3417,502,92,15,359.0,11.571428571428571,inf,3.5336449787987627
2020-03-28,3903,486,114,22,396.42857142857144,13.714285714285714,inf,3.5913985512812485
2020-03-29,4256,353,136,22,387.14285714285717,15.857142857142858,inf,3.6290016192869916
2020-03-30,4579,323,159,23,384.0,17.857142857142858,inf,3.660770643527697
2020-03-31,5717,1138,201,42,502.2857142857143,22.142857142857142,154.0,3.7571681922142726
2020-04-01,6834,1117,241,40,628.7142857142857,26.285714285714285,45.0,3.834674974462744
2020-04-02,7910,1076,299,58,713.5714285714286,31.714285714285715,36.0,3.8981764834976764
2020-04-03,9056,1146,359,60,805.5714285714286,38.142857142857146,23.272727272727277,3.956936413844196
2020-04-04,10278,1222,432,73,910.7142857142857,45.42857142857143,16.666666666666668,4.011908613349154
2020-04-05,11130,852,486,54,982.0,50.0,13.0,4.046495164334709
2020-04-06,12056,926,553,67,1068.142857142857,56.285714285714285,10.588235294117649,4.081203239306576
2020-04-07,13717,1661,667,114,1142.857142857143,66.57142857142857,9.355555555555554,4.137259138636768
2020-04-08,15927,2210,800,133,1299.0,79.85714285714286,9.547169811320757,4.202133980060819
2020-04-09,17857,1930,941,141,1421.0,91.71428571428571,8.04225352112676,4.2518084986240465
2020-04-10,19638,1781,1056,115,1511.7142857142858,99.57142857142857,7.604938271604938,4.293097255691648
2020-04-11,20727,1089,1124,68,1492.7142857142858,98.85714285714286,6.208333333333335,4.316536447403556
2020-04-12,22169,1442,1223,99,1577.0,105.28571428571429,5.63963963963964,4.345746103386169
2020-04-13,23430,1261,1328,105,1624.857142857143,110.71428571428571,5.199999999999999,4.3697722885969625
2020-04-14,25262,1832,1532,204,1649.2857142857142,123.57142857142857,4.580645161290323,4.40246773080283
2020-04-15,28320,3058,1736,204,1770.4285714285713,133.71428571428572,4.086956521739131,4.452093249017731
2020-04-16,30425,2105,1924,188,1795.4285714285713,140.42857142857142,3.4279279279279273,4.483230586902103
2020-04-17,33682,3257,2141,217,2006.2857142857142,155.0,3.0636704119850187,4.527397871520467
2020-04-18,36599,2917,2347,206,2267.4285714285716,174.71428571428572,2.8459119496855343,4.563469219262854
2020-04-19,38654,2055,2462,115,2355.0,177.0,2.54,4.587194442317501
2020-04-20,40581,1927,2575,113,2450.1428571428573,178.14285714285714,2.16497461928934,4.608322744745895
2020-04-21,43079,2498,2741,166,2545.285714285714,172.71428571428572,1.5944206008583692,4.63426561339283
2020-04-22,45757,2678,2906,165,2491.0,167.14285714285714,1.0930232558139534,4.660457542748348
2020-04-23,49492,3735,3313,407,2723.8571428571427,198.42857142857142,1.1635514018691588,4.694535004253942
2020-04-24,52995,3503,3670,357,2759.0,218.42857142857142,1.1936872309899569,4.724234896490526
2020-04-25,58509,5514,4016,346,3130.0,238.42857142857142,1.4118497109826587,4.767222675478806
2020-04-26,61888,3379,4205,189,3319.1428571428573,249.0,1.3649932157394844,4.791606448066889
2020-04-27,66501,4613,4543,338,3702.8571428571427,281.14285714285717,1.5393548387096776,4.82282817599809
2020-04-28,71886,5385,5017,474,4115.285714285715,325.14285714285717,1.6312138728323704,4.856644318550217
2020-04-29,78162,6276,5466,449,4629.285714285715,365.7142857142857,1.7350427350427349,4.8929956635286675
2020-04-30,85380,7218,5901,435,5126.857142857143,369.7142857142857,1.6327568667344865,4.931356150467928
2020-05-01,91299,5919,6329,428,5472.0,379.85714285714283,1.4506912442396311,4.960466020723124
2020-05-02,96396,5097,6724,395,5412.428571428572,386.85714285714283,1.2142273098937038,4.98405901301103
2020-05-03,101147,4751,7025,301,5608.428571428572,402.85714285714283,1.2760290556900724,5.004953006209472
2020-05-04,107780,6633,7321,296,5897.0,396.85714285714283,1.2277465918203687,5.032538179260007
2020-05-05,114715,6935,7921,600,6118.428571428572,414.85714285714283,1.4019851116625308,5.059620209455768
2020-05-06,125218,10503,8535,614,6722.285714285715,438.42857142857144,1.6230769230769233,5.097666762890238
2020-05-07,135106,9888,9146,611,7103.714285714285,463.57142857142856,1.3362131029517639,5.130674636283541
2020-05-08,145328,10222,9895,749,7718.428571428572,509.42857142857144,1.3322432962720734,5.162349296844307
2020-05-09,155939,10611,10627,732,8506.142857142857,557.5714285714286,1.3385260635110845,5.192954744865582
2020-05-10,162699,6760,11123,496,8793.142857142857,585.4285714285714,1.351118760757315,5.211384883632516
2020-05-11,168331,5632,11519,396,8650.142857142857,599.7142857142857,1.1331300813008127,5.2261641034337645
2020-05-12,177589,9258,12400,881,8982.0,639.8571428571429,0.9679261862917399,5.249416061739593
2020-05-13,188974,11385,13149,749,9108.0,659.1428571428571,0.8023437499999999,5.276402055849035
2020-05-14,202918,13944,13993,844,9687.42857142857,692.4285714285714,0.8728748068006182,5.307320573174026
2020-05-15,218223,15305,14817,824,10413.57142857143,703.1428571428571,0.8510718315156074,5.3389005219016035
2020-05-16,233142,14919,15633,816,11029.0,715.1428571428571,0.8485967503692763,5.367620517729761
2020-05-17,241080,7938,16118,485,11197.285714285714,713.5714285714286,0.7712765957446809,5.382161182795874
2020-05-18,254220,13140,16792,674,12269.857142857143,753.2857142857143,0.8981281497480204,5.405209714384633
2020-05-19,271628,17408,17971,1179,13434.142857142857,795.8571428571429,0.9183884297520664,5.433974535927756
2020-05-20,291579,19951,18859,888,14657.857142857143,815.7142857142857,0.8605408927989572,5.464756242168099
2020-05-21,310087,18508,20047,1188,15309.857142857143,864.8571428571429,0.8656394453004624,5.491483559379506
2020-05-22,330890,20803,21046,999,16095.285714285714,889.8571428571429,0.7467750981491867,5.519683642317171
2020-05-23,347398,16508,22013,967,16322.285714285714,911.4285714285714,0.6346400204970536,5.540827313847798
2020-05-24,363211,15813,22666,653,17447.285714285714,935.4285714285714,0.5978526110297706,5.560158992841778
2020-05-25,374898,11687,23473,807,17239.714285714286,954.4285714285714,0.5914721295855171,5.573913123560306
2020-05-26,391222,16324,24512,1039,17084.85714285714,934.4285714285714,0.46037061844161636,5.5924232689426425
2020-05-27,411821,20599,25598,1086,17177.428571428572,962.7142857142857,0.46055483311660167,5.614708488837581
2020-05-28,438238,26417,26754,1156,18307.285714285714,958.1428571428571,0.3837425211471012,5.641710032911561
2020-05-29,465166,26928,27878,1124,19182.285714285714,976.0,0.3880536367330354,5.667607963683213
2020-05-30,498440,33274,28834,956,21577.428571428572,974.4285714285714,0.3625649220934879,5.697612887347364
2020-05-31,514200,15760,29314,480,21569.85714285714,949.7142857142857,0.3309309309309309,5.7111320723068415
2020-06-01,526447,12247,29937,623,21649.85714285714,923.4285714285714,0.2258676275365067,5.721354655167945
2020-06-02,555383,28936,31199,1262,23451.571428571428,955.2857142857143,0.20032310177705978,5.744592582077569
2020-06-03,584016,28633,32548,1349,24599.285714285714,992.8571428571429,0.2171628721541157,5.766424745428366
2020-06-04,614941,30925,34021,1473,25243.285714285714,1038.142857142857,0.20036339610175083,5.788833449753303
2020-06-05,645771,30830,35026,1005,25800.714285714286,1021.1428571428571,0.14753572001926465,5.810078538013497
2020-06-06,672846,27075,35930,904,24915.14285714286,1013.7142857142857,0.11222570532915353,5.827915674917169
2020-06-07,691758,18912,36455,525,25365.428571428572,1020.1428571428571,0.09056200366524124,5.839954190343911
2020-06-08,707412,15654,37134,679,25852.14285714286,1028.142857142857,0.07723394701392002,5.849672422583031
2020-06-09,739503,32091,38406,1272,26302.85714285714,1029.5714285714287,0.10181929368598082,5.868939940173077
2020-06-10,772416,32913,39680,1274,26914.285714285714,1018.8571428571429,0.058317257753375956,5.887851261274811
2020-06-11,802828,30412,40919,1239,26841.0,985.4285714285714,0.02847770985537503,5.904622510842648
2020-06-12,828810,25982,41828,909,26148.428571428572,971.7142857142857,-0.004391100702576162,5.918454982409144
2020-06-13,850514,21704,42720,892,25381.14285714286,970.0,-0.0045447881542296014,5.92968146677011
2020-06-14,867624,17110,43332,612,25123.714285714286,982.4285714285714,0.03444645006016854,5.9383315568546085
2020-06-15,888271,20647,43959,627,25837.0,975.0,0.0558477722772277,5.948545483626957
2020-06-16,923189,34918,45241,1282,26240.85714285714,976.4285714285714,0.022132495887542958,5.965290621128205
2020-06-17,955377,32188,46510,1269,26137.285714285714,975.7142857142857,-0.017266187050359795,5.980174781752318
2020-06-18,978142,22765,47748,1238,25044.85714285714,975.5714285714286,-0.06027246456584559,5.990401907282296
2020-06-19,1032913,54771,48954,1206,29157.571428571428,1018.0,-0.0030777839955231914,6.0
2020-06-20,1067579,34666,49976,1022,31009.285714285714,1036.5714285714287,0.022547914317925737,6.0
2020-06-21,1085038,17459,50617,641,31059.14285714286,1040.7142857142858,0.02016524296317052,6.0
2020-06-22,1106470,21432,51271,654,31171.285714285714,1044.5714285714287,0.01597888008892607,6.0
2020-06-23,1145906,39436,52645,1374,31816.714285714286,1057.7142857142858,0.027334535867906167,6.0
2020-06-24,1188631,42725,53830,1185,33322.0,1045.7142857142858,0.026360067302299527,6.0
2020-06-25,1228114,39483,54971,1141,35710.28571428572,1031.857142857143,0.047115105827776185,6.0
2020-06-26,1274974,46860,55961,990,34580.142857142855,1001.0,0.030138194648632807,6.0
2020-06-27,1313667,38693,57070,1109,35155.42857142857,1013.4285714285714,0.0447717231222386,6.0
2020-06-28,1344143,30476,57622,552,37015.0,1000.7142857142857,0.018612767194997753,6.0
2020-06-29,1368195,24052,58314,692,37389.28571428572,1006.1428571428571,0.03194139194139191,6.0
2020-06-30,1402041,33846,59594,1280,36590.71428571428,992.7142857142857,0.016678858814923123,6.0
2020-07-01,1448753,46712,60632,1038,37160.28571428572,971.7142857142857,-0.004099560761346999,6.0
2020-07-02,1496858,48105,61884,1252,38392.0,987.5714285714286,0.012300483233269878,6.0
2020-07-03,1539081,42223,63174,1290,37729.57142857143,1030.4285714285713,0.012208812798203666,6.0
2020-07-04,1577004,37923,64265,1091,37619.57142857143,1027.857142857143,-0.008406835722161032,6.0
2020-07-05,1603055,26051,64867,602,36987.42857142857,1035.0,-0.005490734385724153,6.0
2020-07-06,1623284,20229,65487,620,36441.28571428572,1024.7142857142858,-0.019009846827133508,6.0
2020-07-07,1668589,45305,66741,1254,38078.28571428572,1021.0,-0.03471096704484069,6.0
2020-07-08,1713160,44571,67964,1223,37772.42857142857,1047.4285714285713,0.0016393442622949265,6.0
2020-07-09,1755779,42619,69184,1220,36988.71428571428,1042.857142857143,0.010660390419493284,6.0
2020-07-10,1800827,45048,70398,1214,37392.28571428572,1032.0,0.030969030969030968,6.0
2020-07-11,1839850,39023,71469,1071,37549.42857142857,1029.142857142857,0.015506061460389013,6.0
2020-07-12,1864681,24831,72100,631,37375.142857142855,1033.2857142857142,0.032548179871520325,6.0
2020-07-13,1884967,20286,72833,733,37383.28571428572,1049.4285714285713,0.04302143972738883,6.0
2020-07-14,1926824,41857,74133,1300,36890.71428571428,1056.0,0.06375017988199747,6.0
2020-07-15,1966748,39924,75366,1233,36226.857142857145,1057.4285714285713,0.08820935019112021,6.0
2020-07-16,2012151,45403,76688,1322,36624.57142857143,1072.0,0.08549110371763347,6.0
2020-07-17,2046328,34177,77851,1163,35071.57142857143,1064.7142857142858,0.033273256619991844,6.0
2020-07-18,2074860,28532,78772,921,33572.857142857145,1043.2857142857142,0.015010423905489829,6.0
2020-07-19,2098389,23529,79488,716,33386.857142857145,1055.4285714285713,0.019737750172532688,6.0
2020-07-20,2118646,20257,80120,632,33382.71428571428,1041.0,0.015892931827687095,6.0
2020-07-21,2159654,41008,81487,1367,33261.42857142857,1050.5714285714287,0.02896320134322103,6.0
2020-07-22,2227514,67860,82771,1284,37252.28571428572,1057.857142857143,0.009956355701036677,6.0
2020-07-23,2287475,59961,84082,1311,39332.0,1056.2857142857142,0.01287671232876703,6.0
2020-07-24,2343366,55891,85238,1156,42434.0,1055.2857142857142,0.022563676633444014,6.0
2020-07-25,2394513,51147,86449,1211,45664.71428571428,1096.7142857142858,0.06565796779566917,6.0
2020-07-26,2419091,24578,87004,555,45814.57142857143,1073.7142857142858,0.039126227015069945,6.0
2020-07-27,2442375,23284,87618,614,46247.0,1071.142857142857,0.020691532806969844,6.0
2020-07-28,2483191,40816,88539,921,46219.57142857143,1007.4285714285714,-0.04599567099567098,6.0
2020-07-29,2552265,69074,90134,1595,46393.0,1051.857142857143,-0.005268846257768048,6.0
2020-07-30,2610102,57837,91263,1129,46089.57142857143,1025.857142857143,-0.04304371002132193,6.0
2020-07-31,2662485,52383,92475,1212,45588.42857142857,1033.857142857143,-0.028981618140346197,6.0
2020-08-01,2707877,45392,93563,1088,44766.28571428572,1016.2857142857143,-0.025879775434752735,6.0
2020-08-02,2733677,25800,94104,541,44940.857142857145,1014.2857142857143,-0.03898213318895493,6.0
2020-08-03,2750318,16641,94665,561,43991.857142857145,1006.7142857142857,-0.03293536434746814,6.0
